language,parameter_id,parameter_name,value_number,value_name
Mikir,85A,Order of Adposition and Noun Phrase,1,Postpositions
Lotha,81A,"Order of Subject, Object and Verb",1,SOV
Lotha,85A,Order of Adposition and Noun Phrase,1,Postpositions
Ao,81A,"Order of Subject, Object and Verb",1,SOV
Ao,85A,Order of Adposition and Noun Phrase,1,Postpositions
Naga (Mao),81A,"Order of Subject, Object and Verb",1,SOV
Sema,85A,Order of Adposition and Noun Phrase,1,Postpositions
Angami,81A,"Order of Subject, Object and Verb",1,SOV
Angami,85A,Order of Adposition and Noun Phrase,1,Postpositions
Naga (Tangkhul),81A,"Order of Subject, Object and Verb",1,SOV
Naga (Zeme),85A,Order of Adposition and Noun Phrase,1,Postpositions
Chin (Tiddim),85A,Order of Adposition and Noun Phrase,1,Postpositions
Chin (Siyin),85A,Order of Adposition and Noun Phrase,1,Postpositions
Thadou,85A,Order of Adposition and Noun Phrase,1,Postpositions
Mizo,81A,"Order of Subject, Object and Verb",1,SOV
Mizo,85A,Order of Adposition and Noun Phrase,1,Postpositions
Lai,81A,"Order of Subject, Object and Verb",1,SOV
Lai,85A,Order of Adposition and Noun Phrase,1,Postpositions
Bawm,81A,"Order of Subject, Object and Verb",1,SOV
Bawm,85A,Order of Adposition and Noun Phrase,1,Postpositions
Chin (Mara),85A,Order of Adposition and Noun Phrase,1,Postpositions
Jingpho,81A,"Order of Subject, Object and Verb",1,SOV
Jingpho,85A,Order of Adposition and Noun Phrase,1,Postpositions
Achang,85A,Order of Adposition and Noun Phrase,1,Postpositions
Maru,81A,"Order of Subject, Object and Verb",1,SOV
Maru,85A,Order of Adposition and Noun Phrase,1,Postpositions
Burmese,81A,"Order of Subject, Object and Verb",1,SOV
Burmese,85A,Order of Adposition and Noun Phrase,1,Postpositions
Nusu,81A,"Order of Subject, Object and Verb",1,SOV
Lisu,85A,Order of Adposition and Noun Phrase,1,Postpositions
Yi (Wuding-Luquan),81A,"Order of Subject, Object and Verb",1,SOV
Yi (Wuding-Luquan),85A,Order of Adposition and Noun Phrase,1,Postpositions
Lalo,81A,"Order of Subject, Object and Verb",1,SOV
Lalo,85A,Order of Adposition and Noun Phrase,1,Postpositions
Jino,81A,"Order of Subject, Object and Verb",1,SOV
Jino,85A,Order of Adposition and Noun Phrase,1,Postpositions
Bisu,81A,"Order of Subject, Object and Verb",1,SOV
Akha,85A,Order of Adposition and Noun Phrase,1,Postpositions
Hani,85A,Order of Adposition and Noun Phrase,1,Postpositions
Lahu,81A,"Order of Subject, Object and Verb",1,SOV
Lahu,85A,Order of Adposition and Noun Phrase,1,Postpositions
Bai,81A,"Order of Subject, Object and Verb",2,SVO
Bai,85A,Order of Adposition and Noun Phrase,4,No dominant order
Dulong,85A,Order of Adposition and Noun Phrase,1,Postpositions
Rawang,81A,"Order of Subject, Object and Verb",1,SOV
Rawang,85A,Order of Adposition and Noun Phrase,1,Postpositions
Bokar,81A,"Order of Subject, Object and Verb",1,SOV
Galo,81A,"Order of Subject, Object and Verb",1,SOV
Bori,85A,Order of Adposition and Noun Phrase,1,Postpositions
Mising,81A,"Order of Subject, Object and Verb",1,SOV
Mising,85A,Order of Adposition and Noun Phrase,1,Postpositions
Nyishi,85A,Order of Adposition and Noun Phrase,1,Postpositions
Apatani,81A,"Order of Subject, Object and Verb",1,SOV
Apatani,85A,Order of Adposition and Noun Phrase,1,Postpositions
Idu,85A,Order of Adposition and Noun Phrase,1,Postpositions
Digaro,81A,"Order of Subject, Object and Verb",1,SOV
Digaro,85A,Order of Adposition and Noun Phrase,1,Postpositions
Lepcha,81A,"Order of Subject, Object and Verb",1,SOV
Lepcha,85A,Order of Adposition and Noun Phrase,1,Postpositions
Hmong Njua,81A,"Order of Subject, Object and Verb",2,SVO
Hmong Njua,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mien,81A,"Order of Subject, Object and Verb",2,SVO
Mien,85A,Order of Adposition and Noun Phrase,5,No adpositions
Bunu (Younuo),81A,"Order of Subject, Object and Verb",2,SVO
Bunu (Younuo),85A,Order of Adposition and Noun Phrase,5,No adpositions
Khasi,81A,"Order of Subject, Object and Verb",2,SVO
Khasi,85A,Order of Adposition and Noun Phrase,2,Prepositions
Palaung,81A,"Order of Subject, Object and Verb",2,SVO
Palaung,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mlabri (Minor),81A,"Order of Subject, Object and Verb",2,SVO
Mlabri (Minor),85A,Order of Adposition and Noun Phrase,2,Prepositions
Khmu',81A,"Order of Subject, Object and Verb",2,SVO
Khmu',85A,Order of Adposition and Noun Phrase,2,Prepositions
Vietnamese,81A,"Order of Subject, Object and Verb",2,SVO
Vietnamese,85A,Order of Adposition and Noun Phrase,2,Prepositions
Katu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Stieng,81A,"Order of Subject, Object and Verb",2,SVO
Stieng,85A,Order of Adposition and Noun Phrase,2,Prepositions
Chrau,81A,"Order of Subject, Object and Verb",2,SVO
Chrau,85A,Order of Adposition and Noun Phrase,2,Prepositions
Sre,81A,"Order of Subject, Object and Verb",2,SVO
Sre,85A,Order of Adposition and Noun Phrase,2,Prepositions
Sapuan,81A,"Order of Subject, Object and Verb",2,SVO
Brao,81A,"Order of Subject, Object and Verb",2,SVO
Brao,85A,Order of Adposition and Noun Phrase,2,Prepositions
Cua,81A,"Order of Subject, Object and Verb",2,SVO
Sedang,81A,"Order of Subject, Object and Verb",2,SVO
Sedang,85A,Order of Adposition and Noun Phrase,2,Prepositions
Khmer,81A,"Order of Subject, Object and Verb",2,SVO
Khmer,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mon,81A,"Order of Subject, Object and Verb",2,SVO
Mon,85A,Order of Adposition and Noun Phrase,2,Prepositions
Temiar,81A,"Order of Subject, Object and Verb",2,SVO
Temiar,85A,Order of Adposition and Noun Phrase,2,Prepositions
Semelai,81A,"Order of Subject, Object and Verb",7,No dominant order
Semelai,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nicobarese (Car),81A,"Order of Subject, Object and Verb",4,VOS
Nicobarese (Car),85A,Order of Adposition and Noun Phrase,2,Prepositions
Nancowry,81A,"Order of Subject, Object and Verb",7,No dominant order
Nancowry,85A,Order of Adposition and Noun Phrase,2,Prepositions
Dong (Southern),81A,"Order of Subject, Object and Verb",2,SVO
Dong (Southern),85A,Order of Adposition and Noun Phrase,2,Prepositions
Yay,81A,"Order of Subject, Object and Verb",2,SVO
Nung (in Vietnam),81A,"Order of Subject, Object and Verb",2,SVO
Nung (in Vietnam),85A,Order of Adposition and Noun Phrase,2,Prepositions
Lao,81A,"Order of Subject, Object and Verb",2,SVO
Lao,85A,Order of Adposition and Noun Phrase,2,Prepositions
Shan,81A,"Order of Subject, Object and Verb",2,SVO
Thai,81A,"Order of Subject, Object and Verb",2,SVO
Thai,85A,Order of Adposition and Noun Phrase,2,Prepositions
Atayal,85A,Order of Adposition and Noun Phrase,2,Prepositions
Seediq,81A,"Order of Subject, Object and Verb",4,VOS
Rukai (Tanan),81A,"Order of Subject, Object and Verb",7,No dominant order
Rukai (Tanan),85A,Order of Adposition and Noun Phrase,2,Prepositions
Paiwan,85A,Order of Adposition and Noun Phrase,2,Prepositions
Chamorro,81A,"Order of Subject, Object and Verb",3,VSO
Chamorro,85A,Order of Adposition and Noun Phrase,2,Prepositions
Palauan,81A,"Order of Subject, Object and Verb",2,SVO
Palauan,85A,Order of Adposition and Noun Phrase,2,Prepositions
Agta (Central),81A,"Order of Subject, Object and Verb",3,VSO
Agta (Central),85A,Order of Adposition and Noun Phrase,2,Prepositions
Ilocano,81A,"Order of Subject, Object and Verb",3,VSO
Ilocano,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ifugao (Batad),85A,Order of Adposition and Noun Phrase,2,Prepositions
Bontok,81A,"Order of Subject, Object and Verb",7,No dominant order
Bontok,85A,Order of Adposition and Noun Phrase,2,Prepositions
Pangasinan,81A,"Order of Subject, Object and Verb",3,VSO
Pangasinan,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kapampangan,85A,Order of Adposition and Noun Phrase,2,Prepositions
Manobo (Western Bukidnon),81A,"Order of Subject, Object and Verb",3,VSO
Manobo (Western Bukidnon),85A,Order of Adposition and Noun Phrase,2,Prepositions
Bikol,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mamanwa,81A,"Order of Subject, Object and Verb",3,VSO
Mamanwa,85A,Order of Adposition and Noun Phrase,2,Prepositions
Cebuano,81A,"Order of Subject, Object and Verb",3,VSO
Cebuano,85A,Order of Adposition and Noun Phrase,2,Prepositions
Hiligaynon,81A,"Order of Subject, Object and Verb",3,VSO
Hiligaynon,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tboli,81A,"Order of Subject, Object and Verb",3,VSO
Tboli,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tondano,81A,"Order of Subject, Object and Verb",7,No dominant order
Tondano,85A,Order of Adposition and Noun Phrase,2,Prepositions
Muna,81A,"Order of Subject, Object and Verb",2,SVO
Muna,85A,Order of Adposition and Noun Phrase,2,Prepositions
Wolio,81A,"Order of Subject, Object and Verb",3,VSO
Wolio,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tukang Besi,81A,"Order of Subject, Object and Verb",4,VOS
Tukang Besi,85A,Order of Adposition and Noun Phrase,2,Prepositions
Timugon,81A,"Order of Subject, Object and Verb",3,VSO
Timugon,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kadazan,81A,"Order of Subject, Object and Verb",3,VSO
Kadazan,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ma'anyan,81A,"Order of Subject, Object and Verb",2,SVO
Malagasy,81A,"Order of Subject, Object and Verb",4,VOS
Malagasy,85A,Order of Adposition and Noun Phrase,2,Prepositions
Bajau (Sama),81A,"Order of Subject, Object and Verb",7,No dominant order
Bajau (Sama),85A,Order of Adposition and Noun Phrase,2,Prepositions
Sundanese,81A,"Order of Subject, Object and Verb",2,SVO
Sundanese,85A,Order of Adposition and Noun Phrase,2,Prepositions
Lampung,81A,"Order of Subject, Object and Verb",2,SVO
Lampung,85A,Order of Adposition and Noun Phrase,2,Prepositions
Enggano,81A,"Order of Subject, Object and Verb",2,SVO
Enggano,85A,Order of Adposition and Noun Phrase,2,Prepositions
Simeulue,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nias,81A,"Order of Subject, Object and Verb",4,VOS
Nias,85A,Order of Adposition and Noun Phrase,2,Prepositions
Batak (Karo),81A,"Order of Subject, Object and Verb",7,No dominant order
Batak (Karo),85A,Order of Adposition and Noun Phrase,2,Prepositions
Batak (Toba),81A,"Order of Subject, Object and Verb",4,VOS
Batak (Toba),85A,Order of Adposition and Noun Phrase,2,Prepositions
Iban,81A,"Order of Subject, Object and Verb",2,SVO
Iban,85A,Order of Adposition and Noun Phrase,2,Prepositions
Minangkabau,81A,"Order of Subject, Object and Verb",7,No dominant order
Minangkabau,85A,Order of Adposition and Noun Phrase,2,Prepositions
Urak Lawoi',81A,"Order of Subject, Object and Verb",2,SVO
Urak Lawoi',85A,Order of Adposition and Noun Phrase,2,Prepositions
Indonesian,81A,"Order of Subject, Object and Verb",2,SVO
Indonesian,85A,Order of Adposition and Noun Phrase,2,Prepositions
Manadonese,81A,"Order of Subject, Object and Verb",2,SVO
Manadonese,85A,Order of Adposition and Noun Phrase,2,Prepositions
Acehnese,81A,"Order of Subject, Object and Verb",7,No dominant order
Acehnese,85A,Order of Adposition and Noun Phrase,2,Prepositions
Cham (Eastern),81A,"Order of Subject, Object and Verb",2,SVO
Cham (Western),81A,"Order of Subject, Object and Verb",2,SVO
Buru,81A,"Order of Subject, Object and Verb",2,SVO
Buru,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nuaulu,81A,"Order of Subject, Object and Verb",2,SVO
Nuaulu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Alune,81A,"Order of Subject, Object and Verb",2,SVO
Alune,85A,Order of Adposition and Noun Phrase,2,Prepositions
Paulohi,81A,"Order of Subject, Object and Verb",2,SVO
Paulohi,85A,Order of Adposition and Noun Phrase,2,Prepositions
Lamaholot,81A,"Order of Subject, Object and Verb",2,SVO
Lamaholot,85A,Order of Adposition and Noun Phrase,4,No dominant order
Tetun,81A,"Order of Subject, Object and Verb",2,SVO
Tetun,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tugun,81A,"Order of Subject, Object and Verb",2,SVO
Leti,81A,"Order of Subject, Object and Verb",2,SVO
Leti,85A,Order of Adposition and Noun Phrase,2,Prepositions
Manggarai,81A,"Order of Subject, Object and Verb",2,SVO
Manggarai,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ngad'a,81A,"Order of Subject, Object and Verb",2,SVO
Ngad'a,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kambera,85A,Order of Adposition and Noun Phrase,2,Prepositions
Irarutu,81A,"Order of Subject, Object and Verb",2,SVO
Irarutu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Taba,81A,"Order of Subject, Object and Verb",2,SVO
Taba,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mor,81A,"Order of Subject, Object and Verb",2,SVO
Mor,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ambai,81A,"Order of Subject, Object and Verb",2,SVO
Ambai,85A,Order of Adposition and Noun Phrase,2,Prepositions
Maisin,81A,"Order of Subject, Object and Verb",1,SOV
Maisin,85A,Order of Adposition and Noun Phrase,1,Postpositions
Sobei,81A,"Order of Subject, Object and Verb",2,SVO
Sobei,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tobati,81A,"Order of Subject, Object and Verb",6,OSV
Tobati,85A,Order of Adposition and Noun Phrase,1,Postpositions
Tumleo,81A,"Order of Subject, Object and Verb",2,SVO
Kairiru,81A,"Order of Subject, Object and Verb",1,SOV
Kairiru,85A,Order of Adposition and Noun Phrase,4,No dominant order
Manam,81A,"Order of Subject, Object and Verb",1,SOV
Manam,85A,Order of Adposition and Noun Phrase,1,Postpositions
Takia,81A,"Order of Subject, Object and Verb",1,SOV
Takia,85A,Order of Adposition and Noun Phrase,1,Postpositions
Sio,81A,"Order of Subject, Object and Verb",2,SVO
Sio,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mangap-Mbula,81A,"Order of Subject, Object and Verb",2,SVO
Mangap-Mbula,85A,Order of Adposition and Noun Phrase,2,Prepositions
Arop-Lokep,81A,"Order of Subject, Object and Verb",2,SVO
Arop-Lokep,85A,Order of Adposition and Noun Phrase,2,Prepositions
Maleu,81A,"Order of Subject, Object and Verb",2,SVO
Maleu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Lusi,81A,"Order of Subject, Object and Verb",2,SVO
Lusi,85A,Order of Adposition and Noun Phrase,2,Prepositions
Jabêm,81A,"Order of Subject, Object and Verb",2,SVO
Jabêm,85A,Order of Adposition and Noun Phrase,4,No dominant order
Patep,81A,"Order of Subject, Object and Verb",2,SVO
Patep,85A,Order of Adposition and Noun Phrase,2,Prepositions
Sudest,81A,"Order of Subject, Object and Verb",2,SVO
Gapapaiwa,81A,"Order of Subject, Object and Verb",1,SOV
Gapapaiwa,85A,Order of Adposition and Noun Phrase,1,Postpositions
Wedau,81A,"Order of Subject, Object and Verb",1,SOV
Wedau,85A,Order of Adposition and Noun Phrase,4,No dominant order
Saliba (in Papua New Guinea),85A,Order of Adposition and Noun Phrase,1,Postpositions
Minaveha,81A,"Order of Subject, Object and Verb",1,SOV
Minaveha,85A,Order of Adposition and Noun Phrase,1,Postpositions
Tawala,81A,"Order of Subject, Object and Verb",1,SOV
Tawala,85A,Order of Adposition and Noun Phrase,4,No dominant order
Gumawana,81A,"Order of Subject, Object and Verb",1,SOV
Gumawana,85A,Order of Adposition and Noun Phrase,1,Postpositions
Iduna,81A,"Order of Subject, Object and Verb",1,SOV
Iduna,85A,Order of Adposition and Noun Phrase,1,Postpositions
Kilivila,81A,"Order of Subject, Object and Verb",7,No dominant order
Kilivila,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mekeo,85A,Order of Adposition and Noun Phrase,1,Postpositions
Ala'ala,85A,Order of Adposition and Noun Phrase,4,No dominant order
Motu,81A,"Order of Subject, Object and Verb",1,SOV
Motu,85A,Order of Adposition and Noun Phrase,1,Postpositions
Sinaugoro,81A,"Order of Subject, Object and Verb",1,SOV
Sinaugoro,85A,Order of Adposition and Noun Phrase,1,Postpositions
Nakanai,81A,"Order of Subject, Object and Verb",2,SVO
Nakanai,85A,Order of Adposition and Noun Phrase,2,Prepositions
Bali-Vitu,81A,"Order of Subject, Object and Verb",2,SVO
Bali-Vitu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Amara,81A,"Order of Subject, Object and Verb",2,SVO
Amara,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kaulong,81A,"Order of Subject, Object and Verb",2,SVO
Kaulong,85A,Order of Adposition and Noun Phrase,2,Prepositions
Siar,81A,"Order of Subject, Object and Verb",2,SVO
Siar,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tolai,81A,"Order of Subject, Object and Verb",2,SVO
Tolai,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tungak,81A,"Order of Subject, Object and Verb",2,SVO
Tungak,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tigak,81A,"Order of Subject, Object and Verb",2,SVO
Tigak,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nalik,81A,"Order of Subject, Object and Verb",2,SVO
Nalik,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mussau,81A,"Order of Subject, Object and Verb",2,SVO
Loniu,81A,"Order of Subject, Object and Verb",2,SVO
Loniu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kele,81A,"Order of Subject, Object and Verb",2,SVO
Kele,85A,Order of Adposition and Noun Phrase,2,Prepositions
Lou,81A,"Order of Subject, Object and Verb",2,SVO
Lou,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nehan,81A,"Order of Subject, Object and Verb",2,SVO
Nehan,85A,Order of Adposition and Noun Phrase,2,Prepositions
Halia,81A,"Order of Subject, Object and Verb",2,SVO
Halia,85A,Order of Adposition and Noun Phrase,2,Prepositions
Taiof,81A,"Order of Subject, Object and Verb",2,SVO
Mono-Alu,81A,"Order of Subject, Object and Verb",7,No dominant order
Mono-Alu,85A,Order of Adposition and Noun Phrase,4,No dominant order
Teop,81A,"Order of Subject, Object and Verb",2,SVO
Teop,85A,Order of Adposition and Noun Phrase,2,Prepositions
Banoni,81A,"Order of Subject, Object and Verb",2,SVO
Banoni,85A,Order of Adposition and Noun Phrase,2,Prepositions
Sisiqa,81A,"Order of Subject, Object and Verb",2,SVO
Sisiqa,85A,Order of Adposition and Noun Phrase,2,Prepositions
Roviana,81A,"Order of Subject, Object and Verb",3,VSO
Kokota,81A,"Order of Subject, Object and Verb",3,VSO
Kokota,85A,Order of Adposition and Noun Phrase,2,Prepositions
Buma,81A,"Order of Subject, Object and Verb",2,SVO
Buma,85A,Order of Adposition and Noun Phrase,2,Prepositions
Anejom,81A,"Order of Subject, Object and Verb",4,VOS
Anejom,85A,Order of Adposition and Noun Phrase,2,Prepositions
Erromangan,81A,"Order of Subject, Object and Verb",2,SVO
Erromangan,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ura,81A,"Order of Subject, Object and Verb",2,SVO
Lenakel,81A,"Order of Subject, Object and Verb",2,SVO
Lenakel,85A,Order of Adposition and Noun Phrase,2,Prepositions
Cèmuhî,81A,"Order of Subject, Object and Verb",4,VOS
Cèmuhî,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tinrin,81A,"Order of Subject, Object and Verb",7,No dominant order
Tinrin,85A,Order of Adposition and Noun Phrase,2,Prepositions
Iaai,81A,"Order of Subject, Object and Verb",2,SVO
Iaai,85A,Order of Adposition and Noun Phrase,2,Prepositions
Drehu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nengone,81A,"Order of Subject, Object and Verb",2,SVO
Nauruan,81A,"Order of Subject, Object and Verb",7,No dominant order
Yapese,81A,"Order of Subject, Object and Verb",3,VSO
Yapese,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kiribati,81A,"Order of Subject, Object and Verb",4,VOS
Kiribati,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kosraean,81A,"Order of Subject, Object and Verb",2,SVO
Kosraean,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mokilese,81A,"Order of Subject, Object and Verb",2,SVO
Mokilese,85A,Order of Adposition and Noun Phrase,2,Prepositions
Pohnpeian,81A,"Order of Subject, Object and Verb",2,SVO
Pohnpeian,85A,Order of Adposition and Noun Phrase,2,Prepositions
Puluwat,81A,"Order of Subject, Object and Verb",2,SVO
Puluwat,85A,Order of Adposition and Noun Phrase,2,Prepositions
Woleaian,81A,"Order of Subject, Object and Verb",2,SVO
Woleaian,85A,Order of Adposition and Noun Phrase,2,Prepositions
Sonsorol-Tobi,81A,"Order of Subject, Object and Verb",2,SVO
Sonsorol-Tobi,85A,Order of Adposition and Noun Phrase,2,Prepositions
Gela,81A,"Order of Subject, Object and Verb",4,VOS
Gela,85A,Order of Adposition and Noun Phrase,2,Prepositions
Longgu,81A,"Order of Subject, Object and Verb",4,VOS
Longgu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kwaio,81A,"Order of Subject, Object and Verb",2,SVO
Kwaio,85A,Order of Adposition and Noun Phrase,2,Prepositions
Sa'a,85A,Order of Adposition and Noun Phrase,2,Prepositions
Arosi,81A,"Order of Subject, Object and Verb",2,SVO
Arosi,85A,Order of Adposition and Noun Phrase,2,Prepositions
Sakao,81A,"Order of Subject, Object and Verb",2,SVO
Sakao,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mwotlap,81A,"Order of Subject, Object and Verb",2,SVO
Ambae (Lolovoli Northeast),81A,"Order of Subject, Object and Verb",2,SVO
Ambae (Lolovoli Northeast),85A,Order of Adposition and Noun Phrase,2,Prepositions
Paamese,81A,"Order of Subject, Object and Verb",2,SVO
Paamese,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mae,81A,"Order of Subject, Object and Verb",2,SVO
Mae,85A,Order of Adposition and Noun Phrase,2,Prepositions
Lewo,81A,"Order of Subject, Object and Verb",2,SVO
Lewo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nguna,81A,"Order of Subject, Object and Verb",2,SVO
Nguna,85A,Order of Adposition and Noun Phrase,2,Prepositions
Rotuman,81A,"Order of Subject, Object and Verb",2,SVO
Rotuman,85A,Order of Adposition and Noun Phrase,2,Prepositions
Fijian,81A,"Order of Subject, Object and Verb",7,No dominant order
Fijian,85A,Order of Adposition and Noun Phrase,2,Prepositions
Niuean,81A,"Order of Subject, Object and Verb",3,VSO
Niuean,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tongan,81A,"Order of Subject, Object and Verb",7,No dominant order
Tongan,85A,Order of Adposition and Noun Phrase,2,Prepositions
Samoan,85A,Order of Adposition and Noun Phrase,2,Prepositions
Futuna-Aniwa,81A,"Order of Subject, Object and Verb",2,SVO
Futuna-Aniwa,85A,Order of Adposition and Noun Phrase,2,Prepositions
Rapanui,81A,"Order of Subject, Object and Verb",3,VSO
Rapanui,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tahitian,81A,"Order of Subject, Object and Verb",3,VSO
Tahitian,85A,Order of Adposition and Noun Phrase,2,Prepositions
Maori,81A,"Order of Subject, Object and Verb",3,VSO
Maori,85A,Order of Adposition and Noun Phrase,2,Prepositions
Hawaiian,81A,"Order of Subject, Object and Verb",3,VSO
Hawaiian,85A,Order of Adposition and Noun Phrase,2,Prepositions
Great Andamanese,81A,"Order of Subject, Object and Verb",1,SOV
Great Andamanese,85A,Order of Adposition and Noun Phrase,1,Postpositions
Jarawa (in Andamans),81A,"Order of Subject, Object and Verb",1,SOV
Onge,81A,"Order of Subject, Object and Verb",1,SOV
Oksapmin,81A,"Order of Subject, Object and Verb",1,SOV
Oksapmin,85A,Order of Adposition and Noun Phrase,1,Postpositions
Selepet,85A,Order of Adposition and Noun Phrase,1,Postpositions
Nabak,81A,"Order of Subject, Object and Verb",1,SOV
Nabak,85A,Order of Adposition and Noun Phrase,1,Postpositions
Rawa,81A,"Order of Subject, Object and Verb",1,SOV
Nankina,81A,"Order of Subject, Object and Verb",1,SOV
Nankina,85A,Order of Adposition and Noun Phrase,1,Postpositions
Agarabi,81A,"Order of Subject, Object and Verb",1,SOV
Gadsup,81A,"Order of Subject, Object and Verb",1,SOV
Usarufa,81A,"Order of Subject, Object and Verb",1,SOV
Awa,81A,"Order of Subject, Object and Verb",1,SOV
Tairora,81A,"Order of Subject, Object and Verb",1,SOV
Hua,81A,"Order of Subject, Object and Verb",1,SOV
Hua,85A,Order of Adposition and Noun Phrase,1,Postpositions
Yagaria,81A,"Order of Subject, Object and Verb",1,SOV
Yagaria,85A,Order of Adposition and Noun Phrase,1,Postpositions
Siane,81A,"Order of Subject, Object and Verb",1,SOV
Gahuku,81A,"Order of Subject, Object and Verb",1,SOV
Fore,81A,"Order of Subject, Object and Verb",1,SOV
Fore,85A,Order of Adposition and Noun Phrase,1,Postpositions
Golin,81A,"Order of Subject, Object and Verb",1,SOV
Golin,85A,Order of Adposition and Noun Phrase,1,Postpositions
Salt-Yui,81A,"Order of Subject, Object and Verb",1,SOV
Salt-Yui,85A,Order of Adposition and Noun Phrase,1,Postpositions
Kuman,81A,"Order of Subject, Object and Verb",1,SOV
Kuman,85A,Order of Adposition and Noun Phrase,1,Postpositions
Tabare,81A,"Order of Subject, Object and Verb",1,SOV
Wahgi,81A,"Order of Subject, Object and Verb",1,SOV
Wahgi,85A,Order of Adposition and Noun Phrase,1,Postpositions
Kewa,81A,"Order of Subject, Object and Verb",1,SOV
Kewa,85A,Order of Adposition and Noun Phrase,1,Postpositions
Foe,81A,"Order of Subject, Object and Verb",1,SOV
Fasu,85A,Order of Adposition and Noun Phrase,1,Postpositions
Kamoro,81A,"Order of Subject, Object and Verb",1,SOV
Asmat,81A,"Order of Subject, Object and Verb",1,SOV
Asmat,85A,Order of Adposition and Noun Phrase,5,No adpositions
Korowai,81A,"Order of Subject, Object and Verb",1,SOV
Pisa,81A,"Order of Subject, Object and Verb",1,SOV
Pisa,85A,Order of Adposition and Noun Phrase,1,Postpositions
Wambon,81A,"Order of Subject, Object and Verb",1,SOV
Wambon,85A,Order of Adposition and Noun Phrase,1,Postpositions
Kombai,81A,"Order of Subject, Object and Verb",1,SOV
Kombai,85A,Order of Adposition and Noun Phrase,1,Postpositions
Telefol,81A,"Order of Subject, Object and Verb",1,SOV
Telefol,85A,Order of Adposition and Noun Phrase,1,Postpositions
Edolo,81A,"Order of Subject, Object and Verb",1,SOV
Edolo,85A,Order of Adposition and Noun Phrase,1,Postpositions
Mombum,81A,"Order of Subject, Object and Verb",1,SOV
Mombum,85A,Order of Adposition and Noun Phrase,1,Postpositions
Baruya,85A,Order of Adposition and Noun Phrase,1,Postpositions
Hamtai,81A,"Order of Subject, Object and Verb",1,SOV
Hamtai,85A,Order of Adposition and Noun Phrase,1,Postpositions
Boazi (Kuni),81A,"Order of Subject, Object and Verb",1,SOV
Boazi (Kuni),85A,Order of Adposition and Noun Phrase,1,Postpositions
Marind,81A,"Order of Subject, Object and Verb",1,SOV
Marind,85A,Order of Adposition and Noun Phrase,1,Postpositions
Yaqay,81A,"Order of Subject, Object and Verb",1,SOV
Yaqay,85A,Order of Adposition and Noun Phrase,1,Postpositions
Tabla,81A,"Order of Subject, Object and Verb",1,SOV
Tabla,85A,Order of Adposition and Noun Phrase,1,Postpositions
Sentani,81A,"Order of Subject, Object and Verb",1,SOV
Sentani,85A,Order of Adposition and Noun Phrase,1,Postpositions
Dani (Lower Grand Valley),81A,"Order of Subject, Object and Verb",1,SOV
