time,iso,f1,f2,f3,f4,f5
4,AUS,2.0,2.0,2.0,3.0,3.0
4,AUT,7.0,2.0,4.0,3.0,3.0
4,AZE,1.0,1.0,6.0,1.0,3.0
4,BHS,2.0,2.0,2.0,3.0,3.0
4,BHR,0.0,0.0,0.0,0.0,0.0
4,BGD,1.0,1.0,7.0,1.0,4.0
4,BRB,2.0,2.0,2.0,3.0,3.0
4,BLR,0.0,0.0,0.0,0.0,0.0
4,BEL,7.0,2.0,4.0,3.0,3.0
4,BLZ,2.0,2.0,2.0,3.0,3.0
4,BEN,2.0,2.0,1.0,2.0,3.0
4,BEN,2.0,2.0,1.0,2.0,3.0
4,BMU,2.0,2.0,2.0,3.0,3.0
4,BTN,2.0,2.0,2.0,3.0,3.0
4,BOL,2.0,2.0,1.0,2.0,3.0
4,BOL,2.0,2.0,1.0,2.0,3.0
4,BIH,2.0,2.0,6.0,3.0,4.0
4,BWA,2.0,2.0,2.0,3.0,3.0
4,BRA,2.0,2.0,1.0,2.0,3.0
4,BRA,2.0,2.0,0.0,0.0,0.0
4,VGB,2.0,2.0,2.0,3.0,3.0
4,BRN,0.0,0.0,0.0,0.0,0.0
4,BGR,2.0,2.0,2.0,0.0,3.0
4,BFA,2.0,2.0,1.0,2.0,3.0
4,MMR,1.0,1.0,7.0,1.0,4.0
4,BDI,2.0,2.0,1.0,2.0,3.0
4,KHM,2.0,2.0,1.0,1.0,3.0
4,CMR,0.0,0.0,0.0,0.0,0.0
4,CAN,2.0,2.0,1.0,2.0,3.0
4,CAN,2.0,2.0,1.0,2.0,3.0
4,CPV,2.0,2.0,0.0,0.0,0.0
4,CYM,2.0,2.0,2.0,3.0,3.0
4,CAF,2.0,2.0,1.0,2.0,3.0
4,TCD,2.0,2.0,1.0,2.0,3.0
4,CHL,2.0,2.0,1.0,2.0,3.0
4,CHN,1.0,1.0,7.0,1.0,4.0
4,CXR,2.0,2.0,2.0,3.0,3.0
4,CCK,0.0,0.0,0.0,0.0,0.0
4,COL,2.0,2.0,0.0,0.0,0.0
4,COM,0.0,0.0,0.0,0.0,0.0
4,COG,2.0,2.0,1.0,2.0,3.0
4,ZAR,2.0,2.0,1.0,2.0,3.0
4,COK,2.0,2.0,2.0,3.0,3.0
4,CRI,2.0,2.0,1.0,2.0,3.0
4,HRV,2.0,2.0,6.0,3.0,4.0
4,CUB,2.0,2.0,1.0,2.0,3.0
4,CYP,0.0,0.0,0.0,0.0,0.0
4,CZE,7.0,2.0,4.0,3.0,3.0
